2018-02-27 19:06:17,430 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=21
2018-02-27 19:06:17,432 [JavaFX Application Thread] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2018-02-27 19:06:17,432 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=21
2018-02-27 19:06:17,435 [JavaFX Application Thread] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2018-02-27 19:06:17,435 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=21
2018-02-27 19:06:17,437 [JavaFX Application Thread] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2018-02-27 19:06:17,437 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=21
2018-02-27 19:06:17,439 [JavaFX Application Thread] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2018-02-27 19:06:17,439 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=21
2018-02-27 19:06:17,441 [JavaFX Application Thread] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2018-02-27 19:06:17,441 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=21
2018-02-27 19:06:17,441 [JavaFX Application Thread] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2018-02-27 19:06:17,443 [JavaFX Application Thread] INFO  marytts.PStream Global variance optimization
2018-02-27 19:06:17,444 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=5
2018-02-27 19:06:17,446 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=32
2018-02-27 19:06:17,447 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=6
2018-02-27 19:06:17,449 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=17
2018-02-27 19:06:17,452 [JavaFX Application Thread] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=46
2018-02-27 19:06:17,458 [JavaFX Application Thread] INFO  marytts.R 1 Request processed in 342 ms.
2018-02-27 19:06:17,458 [JavaFX Application Thread] INFO  marytts.R 1    TextToMaryXML took 0 ms
2018-02-27 19:06:17,458 [JavaFX Application Thread] INFO  marytts.R 1    JTokeniser took 5 ms
2018-02-27 19:06:17,458 [JavaFX Application Thread] INFO  marytts.R 1    Preprocess took 27 ms
2018-02-27 19:06:17,458 [JavaFX Application Thread] INFO  marytts.R 1    OpenNLPPosTagger took 9 ms
2018-02-27 19:06:17,458 [JavaFX Application Thread] INFO  marytts.R 1    JPhonemiser took 13 ms
2018-02-27 19:06:17,458 [JavaFX Application Thread] INFO  marytts.R 1    Prosody took 5 ms
2018-02-27 19:06:17,458 [JavaFX Application Thread] INFO  marytts.R 1    PronunciationModel took 3 ms
2018-02-27 19:06:17,458 [JavaFX Application Thread] INFO  marytts.R 1    AcousticModeller took 53 ms
2018-02-27 19:06:17,458 [JavaFX Application Thread] INFO  marytts.R 1    Synthesis took 115 ms
